,commentBody
419,"""This technology ... would only criminalize vulnerable communities...""

Do you want to protect the criminals or the victims, is the real question here. In China, technology is used for mass control, in Detroit housing the issues are completely different - violence, drug dealing, robberies, mugging. Why on earth would Pressley want to ignore this?"
420,"We need to ban facial recognition in public spacings till it is 100%. It the technology cannot accurately decipher people of color and minorities - the same people who are arrested more often by police, this will only make their lives more precarious."
421,"This is a bad idea.  The people who are experts in this technology wrote a letter asking Amazon to stop selling this to law enforcement because it cannot accurately identify people of color and women.  It?s terrible that it would be implemented in a place where most residents are not white.
From a NYT article this spring:
?At least 25 prominent artificial-intelligence researchers, including experts at Google, Facebook, Microsoft and a recent winner of the prestigious Turing Award, have signed a letter calling on Amazon to stop selling its facial-recognition technology to law enforcement agencies because it is biased against women and people of color.?
Congress needs to act on this.  Spend that money on schools."
422,"The possible abuse of facial recognition software is a minor issue, which the Times likes to harp on.  The major issue is the use of surveillance cameras all over the city.  That is what takes away your privacy."
423,"There are 12 million licensed drivers in New York State. 

Give me their photo id database with facial recognition software, and I'll find 1,000 people who look just like you."
424,"1. If a technology exists, it WILL be used.

2. People can almost always be persuaded to ""give up essential Liberty, to purchase a little temporary Safety"" in Franklin's words.

3. Genies cannot be put back in bottles.

The only hope is strong legislation protecting privacy rights, but I wouldn't hold my breath waiting for that."
425,"Ironically, I uploaded my image after reading this article and it said I looked like a ""newsreader."" 

To Portland Mike's point, even though the algorithm may have been limited to provide more provocative results it still highlights the digital underbelly.  Inherent bias baked into AI.  We cannot eliminate it. Awareness is key."
426,I tried it.  It say's I'm myopic.  I am.  I'm thinking the glasses gave it away.  I was hoping for something deeper...
427,"While it's worth highlighting inherent biases in historical data, it should be pointed out that in this particular project they used an object recognition dataset and algorithm to identify types of people and disabled the confidence output to intentionally get provocative results.

Nobody would ever use this dataset in this manner to get any meaningful data, it's pretty disingenuous and kind of muddies their point."
428,"My husband is a large man with a serious expression. People sometimes cross the street when he approaches. 
One day, he was walking down the street when he saw what he perceived to be a dangerous character. 
They both chose to cross the street at the same time to avoid the other. 
Eyes may be the mirrors of the soul, but the shapes of our features do not indicate our character."
429,"This sounds potentially really dangerous, especially in the hands of an authoritarian. Given that the US government at the highest level now rejects real science I would be very concerned where this can lead."
430,"So many misguided comments here it?s difficult to know where to begin. 

We live in the safest time in human history. That we must live in constant fear of so-called criminals is a false narrative, largely perpetuated by Trump and the Republicans to move us to exactly the type of police state being advocated by many of those commenting here. 

Misidentification is a real concern in a surveillance state, especially for minorities who already must bear the burden of police harassment. 

And by the way, exactly what is illicit or even criminal behavior? We are living in a time when an increasingly unaccountable chief executive believes he should be able to make the rules as he sees fit. What is legal today could be criminal tomorrow. Ask those living in China. As we move away from a country governed by laws to one governed by men, the surveillance state will be able to intimidate just by indicating something that is now legal could be illegal in the future, and those videos of YOU will remain on government servers forever. 

Wake up people. We are NOT living at risk of being impacted by criminals but we ARE at increasing risk of losing our civil liberties. Read the history of the Third Reich if you need to see the path we are on and the outcome."
431,"Note that the ""2016 paper"" that was uploaded to arXiv is not peer-reviewed and has not been published in any journal."
432,"My father, Henry Eisenman, was a survivor of Auschwitz. Like millions of other Jews, he lost most of his family due to the insanity of ""racial purity.""
He told me this story. A while after he was liberated, a German doctor saw him for a check-up. When the customary medical exam was over, he looked at my dad with curiosity and asked whether he could take some ""measurements."" My dad agreed, and out came the calipers.
Every aspect of my father's head shape, eyes and nose, and the ratios of all these to each other, were measured. When the doctor was finished, he proclaimed to my father, with no small sense of irony and almost laughing: ""You'll be happy to know you have a perfectly shaped Aryan head. Congratulations.""
There's only one race, and we're all that race: Homo sapiens. And the idea that the newest A.I. technology should be implemented AGAIN to further a pseudo science about faces being predictive of criminality is a scary thought.
Mark Eisenman, Toronto"
433,Obvious rejoinder to arguments for phrenology and physiognomy: Ted Bundy and any good con man!
434,"It's hard to say which is worse junk ""science"" or junk ""research"", this article or the 19th century physiognomists the article relies on to tell us about modern day face recognition researchers.  If the ""Privacy Project"" wasn't overloaded with lawyers and journalists, at the expense of people who have actually worked with and written pattern recognition algorithms, it wouldn't probably merit such harsh criticism.  But going all the way out on the furthest limb in a gotta-go-viral reverie through history with tenuous connections like citing Chinese face recognition attempts at ""criminal faces"" and ""debunking"" them using talking about the U.S. justice system.

I worked in face recognition and other types of pattern recognition for the better part of a decade. Not once did anyone avail themselves of Nazi eugenicists or 19th century physiognomists or the theories they peddled.

What your article shows is that idiot businesspeople will buy any pseudoscientific garbage to try to completely eliminate risk when hiring the people they want to be totally loyal and subservient but also to show no loyalty to in return.  What it shows is that Stanford researchers will publish just about anything to try to put their name in public, much like MIT's media lab of old.

And it shows that journalists, lawyers, and psychologists are groups of people that, unlike real scientific researchers, will gladly go into someone else's discipline and opine without understanding it, to feign expertise."
435,We have always been obsessed with how people look.  How do white suprematists look.  Is it better not just to engage than find some artificial formula for sorting human character.  What kind of character does a person who creates these programs have?
436,"""AI"" is perfectible technology entirely subject to human biases and misuse, it's not magic. 
Evoking AI here as so many do as a ""call to authority"" argument only reveals the same level of reasoning that gives power to voodoo dolls. Anyone who does it is either a manipulator or a dupe. Which are you?"
437,"And let us not forget the forgettable Szondi Test, which purported to be able to determine if you were a psychopath, or a psychotic, based on your liking of various faces.  Of course it was complete trash.

But, nothing dies, it is still available on-line."
438,"The author conveniently mentions Galton and Lombrosso, whose work has  long been criticized, but omits Sheldon and Kretchmer, in more recent times, whose studies are still valid and interesting. Sheldon's theory of personality is still listed in books detailing theories of personality, and although it is very difficult to apply, it is still a valid view of personality based on somatic differences. There is nothing sensational about it, just hard  analytical work.  The Editors should have been suspicious of an article that omits a lot of the data amassed by Sheldon and Kretchmer. Admitedly, Kretchmer is less known in America, but his theories are nonetheless valid. Personalities are not easy things to determine, and we need all the data we can get."
439,"The author is not conflating facial recognition with anything, but establishing the history of misuse physically identifiable features with human behaviour, and risks involved which play to scientifically proven age old human bias.
You don't need AI to know mischaracterising an argument then claiming misspeaking  is a tell for someone with an agenda. In this case, it's most likely seeking funding for a research or development project, if it's not straight up tr trying to sell one of these bogus systems..."
440,"This article misses the current abuse of facial recognition in China for surveillance for a ""social credit score"" and to suppress minorities.  These systems aren't even close to 95% accuracy in identification so to suppose they can evaluate character, criminality, sexual orientation or emotions is ridiculous."
441,"The more often you are correctly identified by facial recognition, the less likely that it will make a mistake. I went through customs of two countries and both used facial recognition to identify me. In both cases, after the machine determined that I am who I say I am, then I went to the human that stamped my passport.

As for using facial recognition to determine character or personality, complete nonsense. Humans can find patterns in known random data, no doubt so can computers. Finding a temporary pattern is not a reliable indicator of anything."
442,"The Italian anthropological criminologist Cesare Lombroso (1800s) was a pseudo scientific racist. (One predictive indicator of criminal intent was the slope of the forehead).  My experience as a trial investigator in criminal cases leads me to suspect that the vast unreliability of eyewitnesses to interracial crime is also driven by an implicit belief in anthropological criminology.  Some uncertain eyewitnesses pick a photo from a lineup based on skull characteristics, posture, etc.  They won?t admit that implicit racial bias.  Dr. Liz Loftus (UC Irvine) has written widely about eyewitness identification issues."
443,Face it. We are falling fast into Dystopia where junk technology supplants junk science at our altar of progress.
444,"Committing to memory features ""exceedingly strong in amativeness"" -- who knew? -- and amused that in 2019 we're still seeing articles on phrenology. Looking forward to next week's article on efficacy of snake oil."
445,"The book Mismeasure of Man by the late Stephen J Gould, published in 1981 , gives a detailed and accessible account of the science and the social and political contexts of eugenics.  

Worth a read in these times..."
446,"On the other hand, human-designed faces can be almost a fool-proof way of detecting villainy.  Refer to Disney and others."
447,"The author of this article is using a trick- conflating two completely different activities (using facial recognition to identify individuals, and using similar technologies to make value judgements about groups of people).  the former is a legit technique, the latter is not.  Conflating them intentionally like this is trying to convince people the former is wrong.  I note from the comments that most people have picked up on this rhetorical trick,"
448,"Eyewitnesses to crimes usually try hard to correctly identify an offender in police photo and in-person line-ups.  Oftentimes, they misidentify a suspect and an innocent person is convicted.  Sometimes the lineup is tainted by detective malfeasance, more subtly, implicit biases in the eyewitness influence the process. Those implicit biases are frequently grounded in the eyewitness? tacit acceptance of anthropological criminology where facial characteristics are indicators of guilt. Maybe the skull structure validates the misidentification as a confirmation bias. There are subconscious heuristics leading the eyewitness to incriminate an innocent man or woman.  As a criminal trial investigator over ten years, I observed this often in vetting eyewitnesses before trial.  Dr. Elizabeth Loftus at UC Irvine is a respected expert, has written often about her research.  

She is not among the rogue pseudo-science criminologists (like Cesare Lombroso) that misuse junk science to condemn classes of people because of their forehead shape."
449,"If we put a cop by the entrance to a stadium and he recognizes a man from a wanted poster--how is this different from having an electronic device recognize him? Even if there is an error, we wouldn't accept a legally consequential recognition based only on a cop's recollection of a poster or an algorithm. Is it an invasion of privacy to be recognized in a public place?

An invasion of privacy problem may begin after recognition, if a company (most likely) or the government sets about recording legal movement or behavior."
450,This article has a lot of conclusions without a lot of backup.  I was waiting for the studies that used AI to debunk these claims that personality and physiology are related.  But seems we don?t have them yet because none are cited.
451,"Two different ideas presented here: the ridiculous notion that behavior can be ?predicted? by facial recognition and the legitimate use of facial recognition for ?identification? of known criminals.  As with any identification or surveillance system, there are legitimate privacy concerns for law abiding citizens.  Having to present identification before voting, for example, is a reasonable invasion of privacy if one wishes to prevent those not eligible from voting.  The same is true of firearms registration and driving privileges.  The constant fear is that the government will abridge our rights in the name of the ?common good?.  AI technology increases their ability to do exactly that.  Sadly, that?s already a reality."
452,"It is silly to compare older 19th century technology and methods to today?s machine learning which can learn patterns, some we can?t even recognize.

If a pattern is there, it is there. 

If a pattern is not there, it is not."
453,"ICE cannot act without a valid legal authority to do this facial recognition search or indeed anything else.  We are not talking about the Gestapo or KGB here.  I work on hundreds of criminal cases brought in by ICE, our sister agency, and they all have a tale of heinous crime to tell.  Heroin, fentanyl, cocaine seizures with millions of dollars in drug proceeds, countless lethal weapons of every description, properties purchased with the drug proceeds...and guess who many of the perpetrators are?  Illegals in Chicago.  Let ICE do its good work and turn off the Boo Hoo Machine of political correctness already."
454,"I was astonished returning recently from London, with my passport, using the ICE app to expedite entry, to have the Immigration Officer take my picture.

I?ve only had this when I have entered totalitarian countries when I had a valid, Embassy issued visa to that country.

Why is MY government taking MY picture returning to MY when I have a valid, allegedly secure passport with an RFID chip on it which, with me standing in front of him, my passport open, a quick swipe confirms the picture in the passport matches the data in their data base already, are they apparently compiling a NEW data base?

And why driver?s licenses?

Now it makes sense about the Real ID program:  Homeland Security wants to abridge the right of every American to be secure in their persons and property, including their unique image, without a warrant.   A clear violation of the Fourth Amendment."
455,"The question here is not the immediate act by ICE but the danger of all government agencies making broad searches leading to multiple false positives. Remember, we are more likely to ?believe? a computer making it twice as hard to prove innocence. Also consider the burdens and impacts on life cause by what are potentially millions of false positives - false accusations. 

We are moving towards dangerous times. It is time to check government power before it grows out of control. Just look at China! Remember, it?s usually the guy that says  ?I have nothing to worry about because I did nothing wrong? that ends up regretting that statement."
456,"As the legislative manager of California's 1986 Personal Information Integrity Act -- which was defeated by the intervention of the late Sen. Ed Davis, formerly LAPD's corrupt policy chief -- I'm not surprised by the offenses against personal privacy being inaugurated by law enforcement agencies.  Peeking into private places and recording all they can about citizens -- innocent until proven guilty --  is a habit ingrained in these organizations' make-up.  It is their primary modus operandi.  

Can it be long before we can expect interrogations based on nothing more than looking like ... whomever?  

And when will the giant platforms be called to answer for their private brand of trespassing and information collecting, perhaps in cahoots with ""law enforcement""?  

These occasional sensational news articles need constant follow-ups to raise Americans' consciousness of what's happening and what's at stake -- our basic freedoms to go about our business and live our lives, to pursue happiness, without constant worry that we may be held culpable for a crime --  or simply hanging out with the ""wrong"" people -- because some hair-brain in ICE or the local police cadet thinks we're not who we are.  

Why are we under surveillance in the first place?   I don't see that in the Constitution.  On the contrary, the Supreme Court has ruled we each are entitled to a personal privacy by the First Amendment. So why is all this happening?  And what can we do about it?  Now, before it's too late!"
457,"Simpletons complain --
""why are they looking at me -- and my physical data --
when I have done nothing wrong""?

Because,
until they look at you -- and your physical data --
they have no way to distinguish you from someone else who has done something wrong.

The real issue is the technical reliability of the ID system.

Most importantly, how many ""false positives""?
What is the rate of ""false positives""?

A good ID system will have low ""false positives"".

The test for biometric data stored digitally and accessed electronically
is no different from the test for data written in pencil and paper and stored in rooms of file cabinets and scanned with hundreds of pairs of eyeballs --

Namely,
How many false positives?
What is the rate of false positives?

Much better  to search for someone accurately matched to biometric digital data
than to search for someone who is Race X, skin color Y,
eye color Z height H and ""build"" B."
458,"I am a liberal, moderate democrat and I do not understand how people who are here illegally can get a drivers license. I have compassion, I believe that people seeking amnesty need to have basic rights and systematic support, but certain rights and privileges should be extended only to those who are here legally and follow the laws of the US."
459,"ICE is a police agency.
Police agencies share information with each other all the time.
I see much less downside to information sharing among government police agencies than among private companies.
If ICE or any other police agency starting sharing information with any private company (other than as required for performance of a government contract), then that would be a serious problem.

If some states or local jurisdictions want to get obstreperous and refuse to co-operate with ICE, that is fine so long as it does not violate the Supremacy Clause of the U.S.Constitution.
Of course, the federal government might start denying information to state and local agencies, and in that case, the Supremacy Clause would not put any limit on the refusal.

In any case, Congress does have power to regulate the information sharing -- whether requiring it, permitting it or prohibiting it.
And, in the absence of Congressional action, then the courts will decide, case-by-case.

BTW. All you progressive/lefties --
Be careful what you wish for when it comes to non-co-operation with the federal government.
Maybe the IRS stops sharing tax information with state and local governments.
Maybe the federal government prohibits state and local governments from requiring anybody to produce a U.S. federal tax return or other federal tax information."
460,I don?t like this one bit. There is no way this could be used against us given the illegal intrusion of phone records following 9-11. RIGHT!!? As long as Trump and McConnell are in power we aren?t free from this possible weapon against us.
461,"What could possibly go wrong?!
Ohhh, right: now undocumented immigrants are going to go without licenses. How stupid and shortsighted this government is and how blissfully ignorant of the laws of unintended consequences."
462,"I have a Hispanic last name and am a second generation American.  When I go to Europe on vacation I always get get pulled by I don't know  what agency at the airport when I reenter the US, only to be let go later because my name has been confused with some one else's.  Is it only a matter of time where the same thing will happen with these searches?  Only this time will I be placed in a detension center?"
463,"For the life of me, I cannot understand the logic behind all the people who are appalled at this (I understand that it's Red vs Blue... but I just don't see the logic).

It's not like people are being photographed and documented without their consent... they are voluntarily giving their photo and information to a government entity. Did they really not think that information wouldn't be used to track them if they committed a crime? How is this any different than an FBI or ICE agent looking at DMV records manually? This simply automates the process. Quite frankly it's a good idea. Saves taxpayer dollars on labor costs.

And let's not forget - illegal entry into the US is still a crime - one that Democrats were strongly against in the Obama days. Not sure what's happened to them since then..."
464,"This is just the tip of the iceberg! 
It is, however, an indication of what's to come from a government run by authoritarian oligarchs like the Koch's, the Mercers, the trumps, Murdoch/Fox, etc., etc..
These trends began in the early 21 century and they are now coming to fruition. That means George Orwell was off by 20   years and that's a fairly good sense of prescience!"
465,We need an omnibus Federal privacy bill that provides unambiguous boundaries for individual privacy in the physical and digital realm. It also needs teeth for violators.
466,"Note that this happened..when liberals were in control of the White House.. isn't funny that we accuse China and it Huawei that they are ganna do us..what we are doing? Lookup the PRISM project on Wikipedia guys. What we know that they did 11 years ago is mind boggling, how about what they are doing now?"
467,"Our Republic is Of, By, and For the People, and WE did not agree to ANY of this. I think Amendments 3 and 4 would apply in this day and age --- to ALL surveillance, information gathering going on (Intel, military, commercial, etc.) at home, and otherwise -- and require due process. Moreover, there is no need for any surveillance, or otherwise intrusion rights, to be granted except in regards to the criminal justice system, with cause. Someone should sue -- if I could afford to, I would!"
468,"One of the problems with giving illegal aliens drivers license is the fact that the US uses Drivers' license as access to other places forbidden to illegal aliens.

Driver's licenses are used to access Public and Federal buildings, at airports etc. 

The US would be better off if they copied the European Model where citizens have ID cards  and driver's licenses are ONLY used for Driving."
469,"I think that if ""ICE"" were renamed ""CARES"" (Customs and Refugee/Emigree Service"", or something like that, it might stop attracting the kind of schadenfreude people who currently seem to dominate the culture at ICE."
470,"There?s an easy solution. The 29 states that haven?t authorized federal agencies to scan driver?s licenses should join the 21 states that have. If some decline, serial killers, murderers, rapists, bank robbers, illegal immigrans and other criminal  who fear driver?s license scans my lead to their apprehension should build move to the states that refuse  law enforcement agencies access to driver?s license databases."
471,"Homeland Security is now photographing US (and other) citizens upon return to the US from foreign travel. I would be amazed if these photo's were not being subjected to facial recognition algorithms and stored forever. Isn't it about time to start massively scaling back these organizations by defunding them? We are looking at a staggering deficit after all, and we know how upsetting that is to Republicans."
472,"While I believe it's unacceptable and an invasion of my privacy that my ID was run by ICE/the FBI, that's clearly my opinion; however, it's fact that they used software determined to be most innacurate in identifying the very groups they are trying to identify. At this rate, should we start defoliating with Agent Orange again? Bad science should be taught so that we don't repeat mistakes, but it should never be practiced. Using facial recognition for this use has been determined to be, at best, bad science."
473,"Let's face it.  There is no longer any privacy for the average American resident, citizen or not, criminal or not.  The only reason they are likely to leave me alone is because I have gray hair and usually ""old ladies"" are not criminals.  But I don't like this and I hope the next administration will stop it."
474,"I see that the Right and Trumpists are continuing their policy of Big Gov can only be trusted when I want stuff, deficits and debts don?t matter once Republicans take charge, a war isn?t a war if Trump starts it, executive orders only destroy Amurrica when Obama issues them, the Constitution only says what I say it says, and Jesus only counts on Sunday mornings."
475,"And this too shall pass.  Until Democrats boldly step up with new and creative ways to capture the media, Trump will control the narrative.  Have the Democrats ever thought about appointing a Press Secretary?  Someone charismatic, smart, funny, and articulate.  Every time Trump lies or puts forth an appalling policy (and this will be every day), this Press Secretary will hold a press conference. If this Press Secretary is compelling, she will grab the attention of the media, and thus, the nation."
476,"Search any name online and there are sites (mylife.com for example) that gives a fairly good  intro including date of birth.

Looks like none of our personal info is safe and it will never be hidden again.   How much more control will data have over us?  Why aren't we riled up and demanding privacy?  Why are government agencies so willing to sell our information and then let us scrambling as we run for cover?

No wonder we can be scammed and shamed so easily.  It's all out there for anyone's viewing pleasure and devious pursuits."
477,"One of the significant risks here is a false match.  A U.S. citizen could be identified as an undocumented immigrant, rounded up by ICE and detained for months in one of their concentration camps before finally being released once the mistaken identity is clarified.  Contemplate this.  AI facial recognition is far from perfect."
478,Good for Axon.  Tech finally acting like grownups.
479,"I just want the crime problem in my city addressed. Does anyone in their right mind think the status quo vague descriptions of suspects by eyewitnesses is better? (""White male, late 50s, brown hair, wearing jeans -- be on the lookout"" or ""black teen, dark complexion, wearing a hoodie -- be on the lookout."") The irony is academics, criminal justice skeptics and yes leftist fanatics have written, debated, and screamed ad nauseum about flaws in eye-witness testimony. Yet now an A.I. solution is deemed ""problematic."" And let's be real: Media also talks ad nauseum about ""innocents"" caught up in ""the system,"" but hardly ever talk about ""the system"" letting go a bona fide criminal, which happens far more often. Fear mongering articles on facial recognition without exception fail to mention that prosecutors have been getting confessions and convictions for a very long time based partly on identifications by humans, for instance in lineups or in mug books, or by police officers. Worst case scenario facial recognition systems have succeeded in partly automating what human witnesses do. These mechanized comparison systems exhibit occasional errors. But guess what? People, whose testimony is well known to be unreliable, and it is not clear that it's any better than the dreaded machines. The point is that facial recognition is as likely or more to be accurate as traditional methods based on human identification that have been used for centuries to finger criminal suspects."
480,"I am not sure I understand why facial recognition is even truly useful for police body cams.  Body cams are there to protect the public from police abuse that otherwise would not be noted.  

If a police officer is close enough to a person to get a clear image then the officer should be able to decide whether to apprehend that person based on their actions without knowing their identity.  

If this technology is used to attempt to identify persons with open warrants among those casually captured by the officer's camera, then we enter a parlous state.

In the reasonable future the body cams are not likely to have the processing power and battery life to be sufficiently useful for this purpose as standalone cameras.  More powerful computers connected by a wireless net would be needed, with the attendent issues of reliability and security."
481,When your wife or daughter is sexually assaulted by serial perpetrator who otherwise would have been incarcerated - thank this shortsighted silliness.
482,coz their AI sucks. afraid of getting sued for biiiiig bucks
483,Barr could use facial technology to identify political dissidents when Trump loses in 2020 and voids the election. What is a dictator facing jail time supposed to do just leave no fight to the  end democracy be damned .
484,"It's coming, not a question of if but of when.  In the carceral state, where there is money to be made by locking people up, something like this is just too juicy an opportunity to pass up."
485,"The concern over facial recognition software is way overblown.

Facial recognition is used only to identify possible participants; then ordinary investigatory methods are employed.  It is not evidence, just an investigatory tool.

Indeed:  Has there ever been a case where facial recognition per se was the compelling evidence in a conviction?"
486,"I am dumbfounded but wholly encouraged by Axon's ban on the use of facial recognition technology in their security product. I kept asking myself as I read through Mr. Warzel's article, ""What gives? What's the catch?"". 

But if more governing entities begin to follow San Francisco's lead, as this article seems to indicate they are, and thus the sales environment more challenging, then Axon's move would appear less about taking an ethical stand then it is about having the prescience to bowing to the inevitable."
487,"Facial tech out, eyewitness testimony and hand drawn sketches in.  That makes no sense.  Idiocracy was not a satire.  It was a documentary that somehow made its way to our time."
488,"The Minority Report  movie and Pre Crime was prescient.

I bet we build bigger prisons."
489,Definitely a positive step by Axon. Clearly this technology is not ready for prime time. In that way it is similar to self-driving cars. If facial recognition technology can ever be made reliable enough then the question becomes where should it be used and where should it be banned. Facial recognition is obviously a potentially dangerous technology with regard to a free society and citizens need to get involved in the decision-making process.
490,"I think the key here is that the body cameras available, in the light typically available, just can't do it.

If other tech could, so what? This still can't.

If other tech can't either, that just proves more so that this tech can't be expected to do it.

Could any tech ever overcome that? Should it? Should we then use it? 

Police body cam makers are not answering those questions. Perhaps the rest of us should, before we get there and just do it anyway."
491,"Many police officers can in fact recognize the criminals in their assigned areas, particularly if they've arrested them several times already."
492,Facial recognition is more accurate than eye witnesses.  Maybe we should not allow testimony of witnesses of a crime until people can be proven reliable.
493,"Surely they jest...

Looking how systemically unreliable all types of ""evidence"" are, today ? will take my chances with what a camera sees me doing, vs what an eyewitness claims...

So long as it?s not selectively excerpted...

Further, as a country, we're about as interested in upgrading the confidence of evidence gathered for trials ? as pharmas are in driving down the prices of their meds...

(even with rape kits, DNA testing, and body cameras - the predominant trend is to ditch them when no one's looking)

Flying under the radar, prosecutors wield a discretion to punish or pummel or pulverize that'd make any 13th century counterpart envious...

Think of our big new country like a big new plane...

If you're going to decide what really happened or going on, based on what the crowd thinks ? it won't turn out well...

Especially when the crowd clamors for a fair trial, followed by a graphic and gruesome execution...

Or when the royals see no criminal act ? and focus on smoothing over the economic fallout...

Dean/AG, let me ask you this...

Would you all have had even 3% of the insight as to what went down with Khashoggi ? if no cameras around...

PS

Simplest fail-safe would be this...

The AI bot will gladly tell you the confidence level of the identification...

Based on that, convene a grand jury...

Or, simpler ? a pop-up panel of 3-5 human experts, to render a decision within 2 hours of first viewing..."
494,"Privacy and video scanning
With the information given I am not very concerned about video scanning. It could be good and it could be bad, but most likely both.  The one overwhelming question is How Much Does It Cost.  Protecting the privacy of citizens once seemed like a good idea.  But after mountains of paperwork, slowing down the purchase of medications, the machines that collect your signature everywhere and the software that runs it all, it is obvious that the costs in the USA are in the low Billions of dollars per year.  Billions per year. Once again, the lawyers won and the common tax payers now have less money. Paranoia is very popular and heavily used to make this additional bill that everyone is paying, as large as possible. However, it could, instead, be paying for free early childhood daycare with healthy food.  We would see a Return On Investment in the very first year, with huge benefits 20 years from now. Where this has been done, (Northern Europe) they rent out their empty prisons to countries that offer less early childhood socialization support. Money does not grow on trees and needs to be spent carefully."
495,"Hmmm. Here's what I've learned after a couple of decades in business. If someone says the data isn't good enough to rely on it, 95% of the time they just don't like the data. Then when they say, ""not another word about this topic"" and ""it won't happen for years"" I smell something really fishy.  That's when I know there's really a deeper story there. In my next life I'll be an investigative reporter."
496,"Hurray!  Good news!  Something I can smile about when I share it with other people!  Thank you for reporting it, Mr. Warzel!"
497,"A false arrest can be devastating and is actually harder to erase than some convictions. Such arrests show up on many employment background checks and rental application background checks, and for young people, it crucially must be disclosed when joining the military or applying for many government jobs. 

Once someone is ""In the system"" they never truly leave, even if they are just booked and released almost immediately when their true identity is discovered."
498,"Just flat out take, store and peruse a picture. Recognition software not necessary. And when are we going to take as many pictures of the police as of the general public in police encounters?"
499,"I'm more than a little confused about this co-called privacy issue and the way it's being discusses by journalists. In all these articles on privacy, journalists seem to believe that before facial recognition and other means of data gathering, our lives out in public were private. They weren't private. They were public. Even back before cameras, if the police wanted to know something about us, they went to our friends to find out what places we frequented and asked people in the establishment if they had seen us there. They relied on people's memories and business records. They didn't need a warrant to get the information either. Even what we put up in FaceBook, twitter or Instagram, etc. are all public forums. This is public information, not private. Our data has always been public. It was just more difficult to gather until the last couple of decades. Facial recognition has always been available to the police. It just resided within the memories of the people who had seen us, and the police gathered this information and didn't need a warrant to get it. Police abuse of the information they gathered was always a possibility. And the problem of facial recognition didn't start with this new technology being unreliable. I think this privacy discussion is being dumbed down by journalist to such an extent that it's obscuring the real issues surrounding the gathering of our individual public data, and it's leading to bad public policies."
500,"I have to infer from the reasoning that when and if facial recognition becomes very accurate, the ethics board will then recommend its use ? Is that ethical?"
501,"This is what a responsible decision looks like though I really am not sure if this is a one-time decision which will be later abandoned for a wonderful, shiny Mark of the Beast? 
(just kidding . . . maybe)"
502,"Good news, at least for now, for the US.

UK police forces have enthusiastically embraced AFR technology. Yesterday, the UK Government's own Biometrics regulator described the roll out by British police forces as 'chaotic' and commented that its application was 'running ahead of laws that could prevent its misuse'

""With no legal framework in place it was left to the police to decide when the public benefit outweighed the ?significant intrusion into an individual?s privacy? arising from facial recognition and other types of biometric identification"", the report said.

Civil liberties groups have also raised the issue of false arrest due to mis-identification.

Scary. This sort of thing is going to rule our lives."
503,The plot of Person of Interest edges closer to nonfiction.  Will US citizens be subject to a Correction or Sorting one day?  Those who know the tech intimately might be trying to curtail that.
504,"Looks as if most of the comments line up squarely behind this technology, with many claiming that liberals and the ACLU are behind banning it.

All those folks, especially the law-abiding ones, should march right down and give a DNA sample to their local police force.  You know, just in case it's ever needed."
505,"It' not potential abuse it's real abuse. We see it in the way DNA is used to track criminals through far removed relatives to then zero in on a someone who has escaped the law for many years but now is brought to justice. The problem though is that the privacy of every other extended family member has been violated.  It seems at first blush that justice has been served but at a terrible price. The price of privacy and the right to live without government intrusion.  
We see what is happening in China were there are millions of cameras that zoom in on private citizens to monitor their behavior. Then they are ridiculed or punished publicly for offenses that in a country in Western Europe or the United States or Canada would hardly be noticed.  
The DNA tracking and the cameras have much in common.  They operate behind the scenes without restriction or supervision.  And they operated subversively and unobtrusively in the lives of ordinary and private citizens.
George Orwell's 1984 has arrived and grows.  Where will government intrusion end and the right of privacy end too?  
We have read recently of a number of unsolved crimes that have finally after decades been resolved because of DNA. What if after decades a government agency records a citizen in a comprising situation, not necessarily criminal, but like China, seemingly a threat to orderly conduct and a docile, compliant society?  How many lives will be ruined by this intrusion and control? The risks out weigh the benefits."
506,"I believe surveillance like this has been in use in England for some time.
A good subject for a study of the effects both good and bad ?"
507,In what sense do I or anyone else have a reasonable expectation of privacy when out in public? Isn't it the essence of being in a public place that other people (including law enforcement) can be there too and recognize you?
508,Terrorists and criminals rejoice! San Francisco will now be THEIR sanctuary city.
509,After being pickpocketed twice and seeing three purse-snatchings in board daylight it is about time that someone put a stop to these habitual criminal activities.   The police can?t be everywhere and they are never where you really need.
510,"Lots of luck finding criminals with scant evidence.  It is going to be a ""first-class goat rope"" bringing perpetrators to justice.  Typical San Francisco.  they can take the credi9t for things going WRONG in our society.  Remember, if you have nothing to hide do not worry about the camera."
511,"Dumbest thing I've heard of in a long time.  Does San Francisco recognize that this technology is used to not only catch the bad guy, but also to avoid crime?  Most terrorists caught in London, Germany, France, and other countries would not have been possible without it.  Understand we don't want government following us around (as if they don't already do that via Obamacare, Internet, social networks, etc.), but these are public spaces we're talking about.  And if we're worried about that, limit the government's use to finding criminals."
512,Considering all the closed store fronts in San Francisco you would think that the board of supervisors and police could at least help businesses maintain what inventory that isn?t being hauled away.
513,"I don't see a need for a right to privacy - out in public. You're out in public! Whether it's a police officer recognizing someone with a warrant, or an automated system is only a question of efficiency. 

It would be reasonable to choose not to maintain long term records, not to identify nor search people without a legitimate purpose. 

If our government goes evil - then this regulation won't stop anything, they'll ignore it. Pretendng like this protects you is nonsense."
